VOL_MEAN,PET_MEAN,PET_KLASSE,LEITBAHN,BEWERTUNG,SHAPE.AREA,SHAPE.LEN
973.87,36.76,sehr geringe Qualität,0,sehr hoch,95.13062282,42.2251642467489
590.05,35.54,sehr geringe Qualität,0,gering,354.5990487,105.630590675816
1033.79,32.33,geringe Qualität,0,gering,1469.90304242,251.655076992766
494.75,34.6,geringe Qualität,0,gering,27.2827134,40.3912092515174
585.38,31.68,geringe Qualität,0,gering,5047.80588038,523.484216679361
850.25,36.04,sehr geringe Qualität,0,gering,23.44986132,27.065499577543
859.45,35.09,sehr geringe Qualität,0,gering,6833.83358698,341.008703455428
718,27.2,mässige Qualität,0,gering,17.51844318,21.6241222702696
268.2,31.68,geringe Qualität,0,gering,755.11840614,224.081677962374
227.75,33.55,geringe Qualität,0,mittel,14.62915592,15.4371928267993
250.29,30.97,geringe Qualität,0,gering,1886.69229942,234.753175238673
310.52,21.25,hohe Qualität,0,mittel,30308.18132892,750.16379672872
995.42,34.79,geringe Qualität,0,gering,7494.98947538,478.417282845495
682.85,21.28,hohe Qualität,0,mittel,7777.7689851,504.201726302603
1313.05,18.19,hohe Qualität,0,hoch,596054.17615304,6855.25208771311
294.33,17.32,hohe Qualität,0,mittel,128.19440456,65.2020228771162
270.8,28.11,mässige Qualität,0,gering,2179.1561417,193.538456324365
412.75,19.6,hohe Qualität,0,mittel,121.93566754,78.6964320606302
678.07,17.59,hohe Qualität,0,mittel,1936.8310072,194.104407826661
1370.21,24.01,mässige Qualität,0,hoch,138.38665382,161.494168055445
2044.12,28.81,mässige Qualität,0,hoch,29.07958854,22.5760693977792
1530.29,22.86,hohe Qualität,0,hoch,4413.2559505,443.099647338237
1030.5,34.2,geringe Qualität,0,hoch,83.19199688,48.9822580321533
2037.25,22.34,hohe Qualität,0,hoch,81.36658924,101.814743308016
1836.63,25.88,mässige Qualität,0,hoch,49.45270764,110.001279509699
2437.92,28.94,mässige Qualität,0,hoch,26.76786972,96.1750666320231
2393,32.5,geringe Qualität,0,hoch,62.61351098,30.1145041798177
2356.5,32.5,geringe Qualität,0,hoch,29.2994394,29.7792889663437
1551.25,33.71,geringe Qualität,0,hoch,343.3384245,131.407864658067
1345.5,36.99,sehr geringe Qualität,0,hoch,44.48738702,44.8248950539626
1663.23,25.06,mässige Qualität,0,hoch,929.06172732,123.395252534866
1624.72,23.34,mässige Qualität,0,hoch,889.23745772,120.091041434334
1655.92,24.5,mässige Qualität,0,hoch,2133.76354138,369.559141105857
1675.98,25.23,mässige Qualität,0,hoch,2416.6438247,343.987122263271
2215.63,39.36,sehr geringe Qualität,0,hoch,106.0827752,72.9075442127025
1127.08,33.11,geringe Qualität,0,hoch,49.62138148,24.9981089820558
1040.21,30.57,geringe Qualität,0,hoch,537.99201014,413.282073942996
1040.33,31.16,geringe Qualität,0,hoch,863.42626608,166.157586209673
1611.17,39.69,sehr geringe Qualität,0,hoch,65.34949132,52.5456973411445
1642.07,35.79,sehr geringe Qualität,0,hoch,193.22237974,73.1466383867861
1499.42,34.72,geringe Qualität,0,hoch,221.67837098,60.6259094189183
1664.5,36.39,sehr geringe Qualität,0,hoch,49.339931,37.6088008947615
839.25,40.24,sehr geringe Qualität,0,hoch,55.88833448,27.8948075662414
854.92,40.33,sehr geringe Qualität,0,hoch,66.78058822,42.3393232315625
984.14,38.86,sehr geringe Qualität,0,hoch,343.64025446,90.7014644594723
962.14,39.05,sehr geringe Qualität,0,hoch,399.3801174,227.494273352287
1043.54,40,sehr geringe Qualität,0,hoch,214.46809474,115.730751101075
1027.39,35.47,sehr geringe Qualität,0,hoch,469.1821536,92.3005936473919
954.57,36.21,sehr geringe Qualität,0,hoch,292.89021576,81.7370403763503
1149.89,30.37,geringe Qualität,0,hoch,1609.46226372,255.915151291747
1229.15,41.02,sehr geringe Qualität,0,hoch,214.19949346,238.507779045865
1604.25,40.03,sehr geringe Qualität,0,sehr hoch,35.2755481,41.90643793697
1629.5,40.37,sehr geringe Qualität,1,sehr hoch,20.73135546,18.3258050602965
1697.62,35.17,sehr geringe Qualität,1,sehr hoch,61.09938592,53.9696127664105
1586.25,39.71,sehr geringe Qualität,0,sehr hoch,94.7326276,41.2502366082331
1831.48,31.2,geringe Qualität,0,sehr hoch,3584.2712354,242.008134722076
1660.58,36.21,sehr geringe Qualität,0,sehr hoch,262.28985448,88.0199511605263
1321.89,37.12,sehr geringe Qualität,1,sehr hoch,651.1386485,136.253528390323
755.5,42.17,sehr geringe Qualität,0,sehr hoch,57.70445628,45.2750720848671
742.96,39.74,sehr geringe Qualität,0,sehr hoch,235.59185764,150.269715745513
791.98,36.97,sehr geringe Qualität,0,sehr hoch,321.3700371,81.61604452969
774.5,32.15,geringe Qualität,0,sehr hoch,334.16545862,251.231934108601
466.5,40.12,sehr geringe Qualität,0,sehr hoch,61.48690394,37.1955226370104
699.74,32.06,geringe Qualität,0,sehr hoch,1228.68322452,331.121583931716
560.69,36.14,sehr geringe Qualität,0,sehr hoch,217.10479232,151.858858962021
825.47,31.87,geringe Qualität,0,sehr hoch,4210.77492156,851.871779596365
557.34,31.71,geringe Qualität,0,sehr hoch,3890.4340352,430.40865829447
1078.73,30.99,geringe Qualität,0,sehr hoch,2257.1985671,686.522496399856
621.44,29.7,geringe Qualität,0,sehr hoch,3180.77351468,408.605557689749
826.22,28.8,mässige Qualität,0,sehr hoch,1142.19502038,180.847709017334
856.85,30.72,geringe Qualität,0,sehr hoch,384.3179319,130.159032613522
784.02,27.22,mässige Qualität,0,hoch,564.35199988,153.818197914086
699.81,31.46,geringe Qualität,0,sehr hoch,1159.69446116,253.52126167444
665.66,30.12,geringe Qualität,0,gering,616.82259916,125.096276598215
797.5,36.35,sehr geringe Qualität,0,hoch,17.582457,21.3470906762116
552.91,32.54,geringe Qualität,0,gering,1598.34096922,157.887332268645
906.4,31.95,geringe Qualität,0,sehr hoch,10749.81321012,702.370614334096
445.94,33.3,geringe Qualität,0,gering,22739.63229772,918.542734178805
322.1,20.51,hohe Qualität,0,mittel,135.30462362,54.9653211272009
805.45,30.71,geringe Qualität,0,hoch,274.33353462,74.32692243582
1016.46,36.08,sehr geringe Qualität,0,hoch,617.1483235,127.408435005602
954.21,37.09,sehr geringe Qualität,0,hoch,169.40311046,95.0966663589639
846.61,32.15,geringe Qualität,0,hoch,728.85966556,119.987201493058
889.5,33.19,geringe Qualität,0,hoch,122.21371378,69.1274302874937
825.63,30.01,geringe Qualität,0,hoch,414.97165676,104.384322535418
594.94,26.43,mässige Qualität,0,hoch,75.26945622,96.8569954127867
0,27.46,mässige Qualität,0,hoch,36.40343628,109.050539474277
0,20.99,hohe Qualität,0,gering,31.6665183,68.1077471875744
451.96,24.76,mässige Qualität,0,gering,1255.01144534,170.950695885064
231.07,31.14,geringe Qualität,0,gering,14102.18481868,585.742778541232
608.9,27.03,mässige Qualität,0,hoch,16709.32858714,1310.28695069856
219.25,31.82,geringe Qualität,0,gering,13117.91723524,510.182668495063
418.25,30.69,geringe Qualität,0,gering,58.70703164,321.568648050966
133.95,21.26,hohe Qualität,0,mittel,17557.75646082,525.373847742252
0,32,geringe Qualität,0,hoch,1.8372549,17.0638775212808
642.25,29.26,geringe Qualität,0,gering,29.543578,22.4456890814756
797.33,19.69,hohe Qualität,0,mittel,132510.11443674,2976.89248047835
967,32.8,geringe Qualität,0,gering,29.13896694,76.1530760812562
733.44,30.3,geringe Qualität,0,hoch,77882.6264697,1803.66666271107
1080.25,36.2,sehr geringe Qualität,0,gering,233.90650572,82.3033419303721
1140.92,34.62,geringe Qualität,0,gering,167.29254102,199.837101514249
842.76,32.89,geringe Qualität,0,gering,4542.47066298,355.135506163564
999.05,34.54,geringe Qualität,0,gering,25145.4645481,683.204267361145
873.86,34.19,geringe Qualität,0,gering,1190.2494856,198.810014175576
958.9,35.25,sehr geringe Qualität,0,gering,518.15442788,370.640156392633
966.85,31.3,geringe Qualität,0,gering,6658.68145804,818.548477167271
897.32,34.41,geringe Qualität,0,gering,10750.23440484,478.195460556073
0,33.04,geringe Qualität,0,hoch,32.08943828,129.66221821063
841.33,32.89,geringe Qualität,0,gering,27518.89887824,898.837285826571
473.77,35.63,sehr geringe Qualität,0,hoch,1129.14865254,150.719134792197
457.48,33.55,geringe Qualität,0,gering,595.69998876,190.526699949766
724.7,20.95,hohe Qualität,0,mittel,158.52697516,75.8434464929074
1362.58,30.55,geringe Qualität,0,hoch,407.02300194,99.3604678838725
1215.12,29.81,geringe Qualität,0,hoch,16945.76999814,728.709206991782
908.75,26.5,mässige Qualität,0,gering,59.62275092,116.259371350417
2001.04,29.87,geringe Qualität,0,hoch,1145.50723898,132.937384820827
2001.22,31.78,geringe Qualität,0,hoch,542.59997928,121.817295700431
2302.12,18.83,hohe Qualität,0,hoch,660.48481176,135.182504245721
1192.44,29.39,geringe Qualität,0,hoch,12521.16488232,475.539014006693
397.29,28.78,mässige Qualität,0,gering,17204.44717318,548.589956115703
498.73,21.43,hohe Qualität,0,gering,269.16224886,414.228719633328
1954,22.65,hohe Qualität,0,gering,77.6722255,97.6655921267051
1554.63,18.81,hohe Qualität,0,hoch,149330.86308668,2858.4004890089
1347.97,19.56,hohe Qualität,0,hoch,1339.3541116,174.386477498938
0,30.37,geringe Qualität,0,hoch,36.75445134,105.727072601841
2074.82,26.72,mässige Qualität,0,hoch,1007.59280522,164.669803418477
2016.36,26.49,mässige Qualität,0,hoch,1462.22492232,157.54091928673
2136.91,30.59,geringe Qualität,0,hoch,500.2911196,145.361471226505
2220.21,26.67,mässige Qualität,0,hoch,318.61463614,64.9155706416359
2342.09,31.28,geringe Qualität,0,hoch,193.3698073,100.749638685847
2219.58,27.98,mässige Qualität,0,hoch,45.90717744,161.447042658677
2333.05,26.35,mässige Qualität,0,hoch,4640.80334684,368.052500561184
1905.03,31.93,geringe Qualität,0,hoch,238.97070012,157.134930127276
1907.62,33.23,geringe Qualität,0,hoch,4590.3255552,911.761156400004
1614.75,30.44,geringe Qualität,0,hoch,203.14496972,106.214896799222
1550.25,35.19,sehr geringe Qualität,0,sehr hoch,25.7043574,26.8366899497398
1486.5,36.97,sehr geringe Qualität,0,sehr hoch,80.32429074,67.2686417037042
1392.5,38.86,sehr geringe Qualität,0,hoch,87.3282216,48.1623591588052
1427.2,37.49,sehr geringe Qualität,0,sehr hoch,1358.5503061,229.796423996704
1608.87,23.99,mässige Qualität,0,hoch,2602.0387447,312.193135389585
1600.48,30.11,geringe Qualität,0,hoch,8059.5715466,578.142698055478
1718.5,35.8,sehr geringe Qualität,0,hoch,177.51704348,67.5200148309167
1968.5,31.21,geringe Qualität,0,hoch,342.82135466,201.500739700718
1519.45,33.03,geringe Qualität,1,sehr hoch,3724.4322464,260.216902192296
1817.21,29.32,geringe Qualität,0,hoch,9002.93748626,382.934277208099
1778.37,30.78,geringe Qualität,0,hoch,86.42844622,51.4446696542598
