ROTATION,VOL_GR_1,E,N
54.04081,2,2681973.79,1251061.63
122.4669,2,2682116.594,1252450.868
168.22218,1,2682174.722,1253608.45
175.95488,2,2682176.847,1253721.329
115.92673,1,2682453.934,1252792.067
36.77959,1,2682277.727,1253029.8
160.18311,2,2682420.112,1253823.774
114.26415,2,2682663.575,1252547.524
88.17862,1,2682718.695,1252848.332
49.20536,1,2682616.218,1253215.587
114.77205,2,2682690.204,1253456.365
181.70549,1,2682663.189,1253981.867
99.99622,1,2683198.472,1253603.13
338.21099,2,2684400.858,1250635.101
159.99769,2,2685442.715,1248495.356
41.50303,2,2685345.488,1249958.093
248.00646,2,2685543.577,1247886.28
261.75656,2,2685666.559,1247635.248
230.32153,2,2685626.252,1248077.914
231.53975,2,2685602.39,1252630.71
219.19348,4,2685802.384,1246188.777
49.36458,2,2685957.603,1249336.887
344.53684,2,2686195.895,1248360.209
27.74013,3,2686227.887,1249316.373
238.30609,2,2686539.345,1247212.749
353.70709,1,2686496.677,1247611.315
323.92251,2,2686525.458,1248228.435
238.43361,3,2686879.138,1245459.916
196.98211,2,2687037.139,1246741.966
330.15005,2,2686960.498,1247785.41
17.01109,2,2686978.963,1248509.319
270.45598,4,2687314.935,1245355.576
197.30794,2,2687152.076,1246835.494
331.37282,1,2687100.644,1247359.731
23.23121,2,2687117.206,1248427.561
42.25878,1,2687599.124,1247430.474
277.17681,2,2687943.096,1246467.405
193.01529,2,2687767.255,1246676.812
60.67049,2,2688001.064,1247254.278
72.08744,2,2687826.184,1247298.671
216.44163,2,2688453.291,1245507.569
193.43941,2,2688502.284,1245610.197
181.7559,2,2688695.709,1245670.425
311.17892,2,2677611.474,1246772.91
38.28366,3,2677759.233,1248575.559
24.80457,3,2677501.31,1249202.069
331.09367,2,2678075.723,1246145.799
38.31422,3,2677853.008,1247920.403
42.80909,3,2678085.525,1247966.638
38.3669,3,2677857.932,1248619.244
36.53825,3,2677964.428,1248713.818
33.40893,3,2678321.524,1247250.459
59.08206,3,2678223.76,1247553.413
330.25514,2,2678583.432,1246177.579
16.63256,2,2678506.449,1246671.249
27.65669,3,2678529.851,1246759.614
51.09837,3,2678565.062,1248266.299
183.75704,2,2678643.34,1251383.881
349.11447,2,2679054.648,1246261.287
149.51859,2,2679020.778,1250331.011
97.73841,2,2678822.001,1250628.202
19.64383,2,2678992.155,1252791.545
355.13749,2,2679288.535,1245350.592
358.69449,2,2679105.116,1246096.361
30.71717,3,2679301.953,1246704.919
13.73081,2,2679256.317,1252722.056
46.93926,3,2679575.176,1246465.197
183.69438,1,2679651.879,1251613.841
98.89589,1,2679546.211,1252231.943
32.76383,2,2679595.252,1252448.853
15.41402,2,2679613.925,1253936.469
217.9916,2,2679958.038,1249945.982
42.37913,2,2680021.472,1252282.134
68.38774,2,2679844.949,1253578.564
45.76751,2,2679749.791,1253747.022
35.71419,2,2680288.827,1244667.737
47.02883,3,2680290.287,1245987.66
117.13357,1,2680057.083,1251615.066
44.80223,2,2680250.893,1252240.435
141.24194,2,2680092.184,1253408.326
65.3667,3,2680542.633,1244285.533
52.40648,4,2680441.936,1245067.19
44.60366,3,2680410.832,1245844.544
32.27066,1,2680501.496,1251859.333
172.44964,2,2680667.67,1253234.158
136.9206,2,2680520.923,1253743.872
162.46476,2,2680642.698,1253771.711
73.3818,3,2680815.101,1241923.053
229.81652,2,2680943.867,1250602.655
76.26166,3,2681074.616,1241926.313
64.52784,2,2681297.619,1243778.314
70.74472,4,2681082.774,1244480.387
85.98017,4,2681115.704,1244997.427
52.18675,3,2681028.364,1246023.194
160.49751,2,2681226.988,1250554.359
300.63479,1,2681151.31,1250822.864
117.34469,2,2681016.687,1253490.194
81.00075,2,2681325.828,1243659.61
70.52007,4,2681329.271,1244449.003
54.10856,4,2681537.992,1245056.361
128.2583,1,2681594.736,1250772.549
43.24897,1,2681631.913,1251017.115
12.5586,2,2681356.108,1251554.433
34.18787,2,2681656.206,1251310.301
24.30883,2,2681667.843,1251856.164
196.73637,2,2681703.838,1253578.609
196.06839,2,2681864.198,1253746.726
109.66175,3,2682199.464,1242315.151
49.05119,2,2681957.695,1251321.483
110.43566,2,2682043.115,1252536.081
13.12447,1,2682102.422,1253241.666
183.37064,2,2682142.788,1254020.421
54.91501,2,2682539.198,1242603.998
86.55937,2,2682279.864,1250629.278
67.03623,2,2682281.804,1250772.318
98.09656,2,2682585.802,1250790.412
118.1416,2,2682495.693,1252648.203
95.8162,1,2682572.355,1252868.562
32.08934,2,2683315.904,1243418.677
292.22009,2,2683419.011,1250342.873
118.24975,1,2683967.105,1253722.186
328.57501,2,2684300.794,1250300.09
288.33338,2,2684588.082,1249297.017
341.89533,2,2684586.228,1250010.54
210.80274,2,2685000.377,1248645.565
216.98218,1,2685098.478,1248832.786
31.62236,2,2685004.258,1250054.401
20.55608,2,2685099.864,1250744.223
