PET_KLASSE,NACHTBELAS,PET_MITTEL,T2M_MITTEL,SHAPE.AREA,SHAPE.LEN
sehr starke Belastung,maessig,37.14,18.62,1168.00627106,392.931542498719
maessige Belastung,maessig,32.94,18.28,1074.22136842,366.782010187171
starke Belastung,maessig,36.6,18.56,96.8360428,48.723348087239
starke Belastung,maessig,35.1,18.22,287.58903022,121.009507186404
starke Belastung,maessig,36.18,18.38,369.22136046,171.803802515092
maessige Belastung,maessig,32.57,18.69,299.31003294,131.192240966954
sehr starke Belastung,maessig,38.33,18.68,61.83115094,51.9376053303402
starke Belastung,maessig,35.41,18.18,813.95028246,118.028134275878
maessige Belastung,maessig,33.03,18.27,112.15138622,48.9898848279681
starke Belastung,maessig,36.92,18.61,55.85885728,35.9436368647178
starke Belastung,maessig,35.42,18.23,853.68530268,125.430553216976
sehr starke Belastung,maessig,38.78,18.82,172.5538636,100.632073042039
sehr starke Belastung,maessig,37.35,18.73,1285.81096346,471.270490163811
maessige Belastung,maessig,33.36,18.49,424.50854828,159.342048569035
starke Belastung,maessig,35.69,18.25,127.04932002,134.740483877742
starke Belastung,maessig,35.43,18.39,2520.6814101,284.406072443073
starke Belastung,maessig,35.81,18.31,34.5884279,36.2853505350027
starke Belastung,maessig,36.1,18.44,171.76439862,101.487784556465
starke Belastung,maessig,36.37,18.38,1408.533889,471.951925968034
maessige Belastung,maessig,32.74,18.84,55.51315136,39.6104330350832
sehr starke Belastung,maessig,37.16,18.51,2065.72666442,344.638745461106
starke Belastung,maessig,35.31,18.41,317.9384137,359.057431705226
maessige Belastung,maessig,33.55,18.57,43.2484633,62.4939786035565
starke Belastung,hoch,36.08,19.4,234.67013258,78.1043044631998
sehr starke Belastung,maessig,39.8,18.87,67.40197544,34.4728490946771
starke Belastung,maessig,36.64,18.5,179.03719446,81.54537969451
sehr starke Belastung,maessig,39.03,18.84,603.27431694,379.750532180999
maessige Belastung,maessig,34.86,18.71,38.7620906,27.7098470052097
starke Belastung,maessig,35.43,18.33,32.31720312,34.7229342030279
starke Belastung,maessig,35.97,18.57,120.46609994,69.8480982553123
maessige Belastung,maessig,32.04,18.59,1070.85082256,204.68873182453
starke Belastung,maessig,36.91,18.6,54.6793506,69.8570067268318
starke Belastung,maessig,35.47,18.27,259.48493358,154.927562454996
sehr starke Belastung,maessig,38.77,18.65,187.09075264,97.575960902819
sehr starke Belastung,maessig,40.07,18.72,222.6240142,75.3708042413408
starke Belastung,maessig,36.39,18.58,1729.265079,253.173253113772
starke Belastung,maessig,35.91,18.3,79.8881372,42.1591096236376
sehr starke Belastung,maessig,40.8,18.76,1707.7253652,170.168722460878
sehr starke Belastung,maessig,38.11,18.71,147.29551892,74.0814592854582
sehr starke Belastung,maessig,37.15,18.26,503.98090504,187.082847659042
starke Belastung,maessig,36.32,18.32,5259.57185068,468.501823065654
starke Belastung,maessig,35.97,18.72,528.40769952,166.970955940529
sehr starke Belastung,maessig,40.06,18.73,2123.60201934,414.658257200475
sehr starke Belastung,maessig,37.43,18.51,160.1222635,166.11118941552
sehr starke Belastung,maessig,39.19,18.62,73.37356612,84.8006110446293
sehr starke Belastung,maessig,37.55,18.52,146.41546792,58.5815419418621
sehr starke Belastung,maessig,39.54,18.8,1129.55912216,582.759044115082
starke Belastung,maessig,36.68,18.51,538.16985004,101.419779698908
sehr starke Belastung,maessig,37.48,18.72,512.5032527,159.574576925492
sehr starke Belastung,maessig,37,18.48,28.01348782,21.917395213894
sehr starke Belastung,maessig,37.47,18.67,347.20197894,80.2485283737056
starke Belastung,maessig,35.68,18.3,261.57350282,112.959938348896
starke Belastung,maessig,36.09,18.23,566.80162628,195.77977494808
sehr starke Belastung,maessig,38.79,18.61,192.33224064,188.385813399055
sehr starke Belastung,maessig,39.19,18.61,706.91767702,470.944342941281
starke Belastung,schwach,35.62,17.87,185.3682781,75.3031707468207
starke Belastung,maessig,36.93,18.26,42.89893584,26.4072600267843
sehr starke Belastung,maessig,40.8,18.48,26.4292582,21.9672746734458
starke Belastung,maessig,36.94,18.17,1660.11985536,204.82338404668
sehr starke Belastung,maessig,40.29,18.94,224.54032128,90.5929011564337
sehr starke Belastung,maessig,39.86,18.38,68.00519286,33.8189269027312
starke Belastung,maessig,36.79,18.29,1326.17695662,151.413802028569
sehr starke Belastung,maessig,37.11,18.62,249.31826068,94.7051441005562
sehr starke Belastung,maessig,37.94,18.98,6060.35065526,543.220724255987
sehr starke Belastung,maessig,40.46,18.86,162.79397904,101.493744182588
sehr starke Belastung,maessig,39.49,18.65,1186.63206782,320.28002612719
sehr starke Belastung,maessig,40.75,18.93,30.2771504,40.4076150387257
sehr starke Belastung,maessig,39.27,18.84,253.29752092,98.7709584543425
sehr starke Belastung,hoch,40.1,19.18,5127.82101628,993.610029513419
starke Belastung,maessig,36.46,18.64,41.78673894,33.6871894392164
starke Belastung,maessig,36.51,18.63,529.28159048,106.994525052113
starke Belastung,maessig,36.25,18.62,157.21563726,73.4821005597427
starke Belastung,maessig,36.43,18.59,185.48825412,75.3795494945604
starke Belastung,maessig,36.53,18.6,229.4691729,78.1997990400558
sehr starke Belastung,maessig,39.69,18.73,1327.3299979,422.032727683873
sehr starke Belastung,maessig,38.42,18.63,310.98690662,177.559573566394
sehr starke Belastung,maessig,39.4,18.89,208.63686776,172.726345118156
sehr starke Belastung,maessig,38.69,18.86,495.61732958,103.484762601042
extreme Belastung,maessig,41.55,18.94,32.95553122,28.7207725807332
starke Belastung,maessig,36.64,18.61,83.397165,119.724941997924
sehr starke Belastung,maessig,39.51,18.76,47.87388118,47.4091554778714
sehr starke Belastung,maessig,37.79,18.61,194.90368438,127.044183054706
sehr starke Belastung,maessig,38.82,18.7,959.92206936,407.372655510624
sehr starke Belastung,maessig,38.2,18.93,380.2886836,313.985686744435
sehr starke Belastung,maessig,38.74,18.77,278.5156593,98.7701874523955
sehr starke Belastung,maessig,39.71,18.81,773.68156124,340.799475457921
sehr starke Belastung,maessig,37.61,18.67,7329.75594648,679.071522814567
sehr starke Belastung,maessig,37.92,18.71,1034.79638902,311.856605101244
extreme Belastung,hoch,41.33,19.05,1970.51055776,345.61918952036
sehr starke Belastung,maessig,37.35,18.38,5649.64946456,637.506847007569
sehr starke Belastung,maessig,37.82,18.76,98.34134982,100.388071109776
starke Belastung,maessig,36.94,18.72,2194.46383876,203.546333695197
sehr starke Belastung,maessig,38.91,18.88,447.78480872,262.375911593111
starke Belastung,maessig,36.8,18.48,857.90037154,280.15379069866
sehr starke Belastung,maessig,39.72,18.77,2489.98440134,898.58312085204
sehr starke Belastung,hoch,39.34,19.6,5990.02276438,518.933150203557
maessige Belastung,nicht vorhanden,30.07,16.66,318.08751114,266.796532544293
maessige Belastung,nicht vorhanden,33.57,17.47,49.1054788,49.331700768563
maessige Belastung,nicht vorhanden,29.66,16.83,1617.20789322,465.600940919411
sehr starke Belastung,maessig,37.09,18.45,32.5805586,41.6021224424059
starke Belastung,maessig,36.84,18.69,162.07897028,86.2701071261896
sehr starke Belastung,hoch,38.52,19.01,108.61020134,60.2919016676453
starke Belastung,maessig,35.75,18.52,4018.79244608,345.500635311898
maessige Belastung,maessig,34.87,18.49,542.97864044,122.135098186587
starke Belastung,maessig,36.36,18.87,108.733971,114.691418942258
starke Belastung,maessig,35.1,18.78,1632.18511762,252.747268723122
maessige Belastung,maessig,29.08,18.13,112.35432228,73.9211482178818
sehr starke Belastung,maessig,37.9,18.6,670.24210304,146.973657970911
sehr starke Belastung,hoch,38.88,19.76,210.76207418,65.9038087225518
sehr starke Belastung,hoch,38.08,19.07,76.11564598,48.4130548160453
sehr starke Belastung,hoch,38,19.03,474.46610554,111.08347716868
starke Belastung,maessig,35.27,18.66,111.6399521,110.393099138311
maessige Belastung,nicht vorhanden,33.18,17.47,247.0346209,131.292216746874
maessige Belastung,nicht vorhanden,32.04,16.48,102.2337818,146.040492775765
starke Belastung,maessig,35.85,18.48,832.27306848,553.227286965138
sehr starke Belastung,maessig,37.76,18.71,630.09753576,184.664889087456
sehr starke Belastung,maessig,37.79,18.65,900.70833816,357.61945318375
starke Belastung,maessig,36.43,18.19,518.13474734,334.009545604796
sehr starke Belastung,maessig,39.49,18.97,442.22921116,265.388594600114
sehr starke Belastung,maessig,37.14,18.4,171.5967608,80.7199926714503
starke Belastung,maessig,36.7,18.36,32.292206,23.3105700143679
maessige Belastung,maessig,31.86,18.01,411.36445116,328.735492353231
starke Belastung,maessig,36.58,18.35,99.95278984,39.9906072839744
sehr starke Belastung,maessig,38.59,18.72,126.25254112,82.8513553286196
sehr starke Belastung,maessig,38.73,18.97,616.07385428,135.834264292747
starke Belastung,maessig,35.09,18.62,94.57489624,45.4622911688372
sehr starke Belastung,hoch,39.33,19.06,98.8269145,42.9701347764282
sehr starke Belastung,hoch,39.78,19.04,64.25085858,47.4028357136135
schwache Belastung,nicht vorhanden,27.45,17.28,1230.43388062,611.471682195869
extreme Belastung,maessig,41.34,18.75,41.14375862,41.4723301497541
sehr starke Belastung,maessig,37.87,18.82,937.71371716,308.95836398234
sehr starke Belastung,maessig,38.5,18.39,80.2099731,40.6888553151749
sehr starke Belastung,hoch,39.23,19.7,861.50826602,157.06827042841
starke Belastung,maessig,36.44,18.64,301.03287294,76.3728631376343
sehr starke Belastung,maessig,38.12,18.94,215.23618446,106.260001859191
maessige Belastung,hoch,29.75,19.04,521.2032181,345.062459453521
maessige Belastung,maessig,32.93,18.7,11132.34648738,1159.85141173984
sehr starke Belastung,maessig,37.3,18.35,586.0923527,176.265034558367
starke Belastung,schwach,36.87,17.96,377.9359498,294.928890247957
starke Belastung,schwach,36.02,17.85,104.65370092,73.7804911673277
maessige Belastung,schwach,33.15,17.67,3322.91761368,474.436895723122
maessige Belastung,maessig,31.22,18.37,1026.1422363,507.19123671174
starke Belastung,nicht vorhanden,35.91,17.4,2456.01287624,475.167825842043
starke Belastung,maessig,35.25,18.49,430.0651383,188.42245306308
starke Belastung,maessig,36.58,18,247.17220732,132.274228547538
starke Belastung,nicht vorhanden,36.4,16.95,92.26399718,85.0768438410746
sehr starke Belastung,maessig,39,18.62,123.524986,65.0453429946816
sehr starke Belastung,nicht vorhanden,37.9,17.16,90.3233056,74.5363339922255
starke Belastung,schwach,36.58,17.96,84.45770554,49.6018787515268
starke Belastung,schwach,36.46,17.6,1643.83040108,333.578723713082
sehr starke Belastung,schwach,39.9,17.96,504.69500744,478.693421315401
sehr starke Belastung,maessig,38.84,18.12,703.0045416,214.523470133666
starke Belastung,nicht vorhanden,36.58,17.36,46.03052576,94.2727236931096
sehr starke Belastung,schwach,37.34,17.83,57.36451878,44.2174966532088
starke Belastung,maessig,36.73,18.35,243.33964878,102.770431418086
maessige Belastung,schwach,34.84,17.84,2300.6968173,349.840015723222
maessige Belastung,schwach,34.78,17.78,72.78647942,51.8902100777228
sehr starke Belastung,maessig,40.89,18.08,28.4180615,18.9207266200108
starke Belastung,nicht vorhanden,35.14,17.22,65.01351224,48.1543241078914
starke Belastung,nicht vorhanden,36.44,17.29,51.2435857,53.7739800733347
sehr starke Belastung,schwach,39.15,17.82,224.57367616,183.620163781733
starke Belastung,nicht vorhanden,36.19,17.03,621.82392206,105.989700146677
extreme Belastung,schwach,41.08,17.95,76.78454948,39.0110484533444
