ID,SHAPE.AREA,SHAPE.LEN
121112,126.78389986,66.4016835182799
116535,977.73761864,216.029264689277
116545,677.40295932,147.786981629187
116519,438.2103529,86.3836624706447
113384,414.0065868,83.6463595384736
116543,215.58353382,80.4766759411878
106467,368.37513018,84.9372855284277
119438,471.68638786,93.8825691393982
116221,227.5718772,108.8260277891
119652,281.18051474,69.1666066337232
119644,875.67407826,178.767642428739
119649,814.75226044,156.618883229659
95819,270.6402164,78.3253184342826
114982,1044.50575702,344.826770376705
94063,2892.70008522,431.008953148535
94059,33.9600121,47.9598102781161
94047,341.7673101,76.3608992757603
95069,10076.24536564,669.894395242685
6379,11927.5565169,668.056482241099
3987,56.1776565,66.1187682669838
5714,1024.91103284,146.834269929586
