ARPS,ABC,FIRST_STAT,BFSNR,NBC,GEMEINDE,STAND,BCLAB,SHAPE.AREA,SHAPE.LEN
1,B,,261,1,Zürich,2019,Ueberbaut,101822.086448145,1448.74156563541
1,B,,261,1,Zürich,2019,Ueberbaut,14981.383109335,526.355637497017
1,TR,,261,11,Zürich,2019,Technischer Rest,7664.099744,581.218592439807
1,TR,,261,11,Zürich,2019,Technischer Rest,30510.816296635,1086.46359005993
1,TR,,261,11,Zürich,2019,Technischer Rest,5730.931605,319.383075801645
1,B,,261,1,Zürich,2019,Ueberbaut,57357.11054879,1585.73162738953
1,TR,,261,11,Zürich,2019,Technischer Rest,10928.1617155,831.399793369637
1,S,,261,2,Zürich,2019,Sofort baureif,8819.941501155,456.072868458215
1,TR,,261,11,Zürich,2019,Technischer Rest,4333.86053075,1139.74489141215
1,TR,,261,11,Zürich,2019,Technischer Rest,753.6486075,435.967849314024
27,TR,,131,11,Adliswil,2019,Technischer Rest,18143.156546,572.774921836759
1,S,,261,2,Zürich,2019,Sofort baureif,497.29170241,92.6327890051968
1,TR,,261,11,Zürich,2019,Technischer Rest,7530.766748045,1523.81036503756
1,TR,,261,11,Zürich,2019,Technischer Rest,10.375941855,14.3605071245319
1,TR,,261,11,Zürich,2019,Technischer Rest,7101.41147612,1028.77478215021
1,TR,,261,11,Zürich,2019,Technischer Rest,277.02845275,312.581044239799
1,TR,,261,11,Zürich,2019,Technischer Rest,9450.60769415,694.533722629614
1,S,,261,2,Zürich,2019,Sofort baureif,620.19677406,101.90245017584
1,B,,261,1,Zürich,2019,Ueberbaut,175478.317099895,2779.14533481207
1,S,,261,2,Zürich,2019,Sofort baureif,617.374028215,99.7236881953619
1,5J,,261,3,Zürich,2019,Baureif in 5 Jahren,7906.535918595,565.935310565287
1,S,,261,2,Zürich,2019,Sofort baureif,585.098578275,125.973403792398
1,TR,,261,11,Zürich,2019,Technischer Rest,15659.43137205,736.592726154676
1,B,,261,1,Zürich,2019,Ueberbaut,58765.442851285,2336.25068949818
1,TR,,261,11,Zürich,2019,Technischer Rest,483.897771,153.092715612243
1,B,,261,1,Zürich,2019,Ueberbaut,657.551670045,149.912888542964
1,TR,,261,11,Zürich,2019,Technischer Rest,1649.79705487,314.706191082407
1,B,,261,1,Zürich,2019,Ueberbaut,11858.32461284,803.122737199992
1,B,,261,1,Zürich,2019,Ueberbaut,6702.23875615,346.187817323559
1,B,,261,1,Zürich,2019,Ueberbaut,6867.05149374,372.280179840139
1,B,,261,1,Zürich,2019,Ueberbaut,5937.401393445,339.721105565709
1,B,,261,1,Zürich,2019,Ueberbaut,2439.6376146,208.071331959216
1,S,,261,2,Zürich,2019,Sofort baureif,24713.67991465,1155.14306044255
1,B,,261,1,Zürich,2019,Ueberbaut,139.36146095,211.13782511242
1,B,,261,1,Zürich,2019,Ueberbaut,12119.04004882,665.805613777748
1,TR,,261,11,Zürich,2019,Technischer Rest,1175.163814455,147.166582602106
1,B,,261,1,Zürich,2019,Ueberbaut,32418.0096896,905.667724712764
1,B,,261,1,Zürich,2019,Ueberbaut,2075.00418335,230.714598130888
1,S,,261,2,Zürich,2019,Sofort baureif,369.77581221,77.4540341226278
1,B,,261,1,Zürich,2019,Ueberbaut,945.740171,128.675944009902
