Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumCars
2013-06-21 10:00:00,2678761,1251002,309.0
2019-03-01 13:00:00,2678768,1250994,340.0
2018-12-18 11:00:00,2678768,1251001,374.0
2019-10-29 19:00:00,2678769,1251001,356.0
2017-11-29 08:00:00,2678773,1250991,282.0
2017-07-15 18:00:00,2678775,1251000,289.0
2016-05-13 08:00:00,2678781,1247518,560.0
2017-06-09 20:00:00,2678787,1252296,223.0
2017-06-10 14:00:00,2678793,1250996,540.0
2012-12-01 12:00:00,2678795,1250994,351.0
2015-05-27 08:00:00,2678797,1247527,585.0
2016-05-02 12:00:00,2678800,1247525,191.0
2014-07-15 16:00:00,2678814,1250991,463.0
2012-11-06 14:00:00,2678815,1252402,310.0
2017-08-28 10:00:00,2678816,1252392,317.0
2012-04-17 18:00:00,2678819,1252380,495.0
2016-07-08 16:00:00,2678822,1252403,687.0
2018-09-10 15:00:00,2678823,1252387,446.0
2020-03-01 22:00:00,2678825,1252386,88.0
2016-09-05 14:00:00,2678826,1250989,293.0
2014-05-22 10:00:00,2678839,1252152,315.0
2017-09-14 10:00:00,2678847,1252063,335.0
2015-09-07 09:00:00,2678850,1252057,362.0
2014-09-15 11:00:00,2678850,1252137,345.0
2016-09-22 21:00:00,2678851,1252024,181.0
2017-03-15 11:00:00,2678851,1252054,322.0
2020-02-29 17:00:00,2678851,1252056,350.0
2012-04-26 23:00:00,2678852,1252016,83.0
2014-03-25 09:00:00,2678852,1252016,409.0
2014-11-02 06:00:00,2678852,1252024,53.0
2013-10-21 18:00:00,2678852,1252105,618.0
2017-07-25 22:00:00,2678852,1252110,132.0
2016-10-30 00:00:00,2678853,1252026,129.0
2019-10-27 10:00:00,2678853,1252027,240.0
2016-01-15 18:00:00,2678854,1252019,451.0
2014-01-28 13:00:00,2678854,1252026,387.0
2019-05-09 15:00:00,2678858,1252037,497.0
2017-10-16 11:00:00,2678861,1252040,369.0
2016-10-29 19:00:00,2678940,1247533,156.0
2016-05-20 15:00:00,2678941,1252053,603.0
2015-09-26 12:00:00,2678943,1247532,0.0
2016-01-29 15:00:00,2678948,1247781,317.0
2017-07-01 20:00:00,2678950,1247436,55.0
2017-03-20 14:00:00,2678969,1247680,154.0
2016-12-14 14:00:00,2678973,1247691,239.0
2017-07-08 16:00:00,2678974,1247489,195.0
2018-02-07 13:00:00,2678977,1247688,195.0
2016-03-07 07:00:00,2678983,1247712,162.0
2018-12-06 12:00:00,2678988,1247691,218.0
2018-06-20 17:00:00,2678988,1247700,529.0
2019-01-24 17:00:00,2678989,1247701,546.0
2017-06-10 10:00:00,2678990,1247697,176.0
2015-09-09 13:00:00,2678993,1247686,209.0
2016-09-30 18:00:00,2678993,1247698,331.0
2019-11-08 17:00:00,2678996,1247595,524.0
2020-06-30 08:00:00,2678996,1247689,211.0
2017-07-17 15:00:00,2679001,1247718,195.0
2019-09-17 17:00:00,2679003,1247466,340.0
2016-03-20 13:00:00,2679003,1247698,211.0
2017-01-16 08:00:00,2679003,1247711,14.0
2020-07-18 16:00:00,2679006,1247611,210.0
2018-12-16 13:00:00,2679018,1247640,24.0
2015-10-01 22:00:00,2679018,1247641,105.0
2018-10-18 20:00:00,2679020,1247702,129.0
2016-02-28 13:00:00,2679038,1247696,158.0
2014-08-25 15:00:00,2679040,1247685,239.0
2015-03-06 14:00:00,2679040,1247693,261.0
2014-08-28 18:00:00,2679043,1247666,356.0
2016-01-07 18:00:00,2679043,1247674,392.0
2019-12-27 19:00:00,2679044,1247667,112.0
2020-07-30 13:00:00,2679048,1247697,182.0
2020-09-30 10:00:00,2679050,1247691,190.0
2015-11-01 17:00:00,2679051,1247524,286.0
2013-11-12 11:00:00,2679440,1249650,760.0
2016-10-26 07:00:00,2679441,1249621,1322.0
2012-11-24 14:00:00,2679444,1249630,994.0
2016-04-26 07:00:00,2679454,1249571,1316.0
2016-07-13 16:00:00,2679454,1249600,975.0
2017-06-19 12:00:00,2679457,1249611,677.0
2019-07-28 16:00:00,2679459,1249606,137.0
2013-04-15 14:00:00,2679460,1249606,743.0
2017-04-27 13:00:00,2679461,1249579,850.0
2013-11-30 21:00:00,2679461,1249596,331.0
2019-05-01 21:00:00,2679461,1249606,370.0
2019-04-26 06:00:00,2679464,1249609,914.0
2017-03-23 13:00:00,2679465,1249594,827.0
2018-06-26 20:00:00,2679466,1249594,452.0
2018-07-16 22:00:00,2679466,1249594,293.0
2018-09-06 15:00:00,2679466,1249594,769.0
2013-12-04 06:00:00,2679468,1249530,1144.0
2020-02-18 06:00:00,2679468,1249593,961.0
2019-07-05 07:00:00,2679472,1249597,438.0
2016-05-26 10:00:00,2679475,1249746,921.0
2012-03-09 06:00:00,2679480,1249746,1132.0
2012-10-22 07:00:00,2679508,1249739,1284.0
2019-01-18 06:00:00,2679532,1249719,942.0
2015-08-14 15:00:00,2679536,1249728,886.0
