Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2020-11-06 16:00:00,2680281,1252604,,41.0
2020-08-10 21:00:00,2680286,1252739,5.0,
2020-12-16 20:00:00,2680287,1250824,,20.5
2020-03-31 10:00:00,2680289,1249756,5.5,
2020-08-26 15:00:00,2680292,1250553,,13.5
2020-10-20 15:00:00,2680295,1252746,,19.0
2011-10-01 19:00:00,2680300,1250185,3.5,
2020-04-03 22:00:00,2680314,1249758,7.5,
2020-09-08 17:00:00,2680323,1249633,199.0,
2020-04-07 06:00:00,2680324,1249619,14.5,
2020-04-25 17:00:00,2680325,1250160,61.0,
2020-12-22 03:00:00,2680325,1250290,0.0,
2020-11-18 00:00:00,2680341,1250526,,0.0
2020-11-19 15:00:00,2680341,1252710,,18.5
2020-06-24 14:00:00,2680342,1249764,29.0,
2020-06-19 01:00:00,2680343,1252715,1.0,
2020-08-29 19:00:00,2680345,1252881,6.0,
2020-11-07 12:00:00,2680367,1249602,58.0,
2020-06-20 11:00:00,2680367,1252509,7.0,
2020-07-11 19:00:00,2680368,1249605,17.5,
2011-08-31 19:00:00,2680377,1252445,21.0,
2020-05-01 22:00:00,2680403,1249723,3.5,
2011-11-29 18:00:00,2680422,1252660,41.5,
2020-10-06 14:00:00,2680452,1252643,,11.5
2011-07-20 17:00:00,2680455,1252646,19.0,
2020-09-03 10:00:00,2680487,1249789,67.0,
2020-05-20 00:00:00,2680488,1250062,3.5,
2020-12-17 15:00:00,2680493,1252627,,26.0
2020-01-29 18:00:00,2680497,1252625,7.0,11.0
2020-11-04 17:00:00,2680499,1250050,105.0,
2020-12-11 23:00:00,2680528,1249552,3.5,
2011-01-05 19:00:00,2680532,1250024,13.0,
2011-02-06 15:00:00,2680553,1252586,53.0,
2020-01-03 13:00:00,2680556,1252485,12.0,32.5
2020-01-04 14:00:00,2680560,1249775,,187.5
2020-12-24 07:00:00,2680572,1252553,,3.0
2011-02-12 11:00:00,2680575,1252582,28.0,
2020-10-16 07:00:00,2680578,1252587,,8.0
2011-12-22 23:00:00,2680585,1252292,2.0,
2020-12-29 14:00:00,2680586,1252619,,32.0
2020-05-19 19:00:00,2680587,1252619,9.5,
2011-08-16 21:00:00,2680599,1252579,10.0,
2011-12-16 16:00:00,2680600,1252676,4.5,
2011-11-30 11:00:00,2680600,1252677,10.0,
2020-12-19 16:00:00,2680613,1252577,,26.5
2020-07-10 19:00:00,2680614,1250061,25.5,
2011-12-01 16:00:00,2680639,1252781,19.5,
2011-06-14 17:00:00,2680642,1252558,31.0,
2020-11-11 12:00:00,2680651,1252555,,12.0
2011-02-11 15:00:00,2680653,1249621,14.0,
2020-07-07 07:00:00,2680654,1252562,20.0,
2020-10-26 14:00:00,2680664,1252549,,4.0
2011-07-25 22:00:00,2680664,1252699,7.0,
2020-09-08 21:00:00,2680673,1252654,16.5,
2020-04-23 19:00:00,2680680,1252640,4.0,
2020-10-07 10:00:00,2680682,1252586,,18.0
2011-07-06 18:00:00,2680682,1252590,35.5,
2011-08-20 16:00:00,2680683,1252527,18.5,
2020-10-31 11:00:00,2680686,1252592,,22.5
2020-03-04 15:00:00,2680690,1252592,3.5,
2020-08-11 17:00:00,2680692,1252639,15.5,
2020-04-24 15:00:00,2680693,1252601,15.0,
2011-07-18 16:00:00,2680696,1252514,15.0,
2011-06-18 11:00:00,2680697,1252601,36.0,
2011-06-18 12:00:00,2680705,1252295,6.0,
2011-01-07 14:00:00,2680708,1252618,7.5,
2011-12-25 18:00:00,2680708,1252770,0.5,
2020-02-02 16:00:00,2680710,1252629,5.5,41.5
2020-05-14 16:00:00,2680713,1252632,4.0,
2020-10-09 12:00:00,2680714,1252512,,17.5
2020-12-04 13:00:00,2680719,1252485,,16.5
2020-07-04 14:00:00,2680721,1252729,6.0,
2020-09-16 10:00:00,2680722,1252768,18.5,
2011-12-30 16:00:00,2680728,1252715,10.0,
2020-08-16 10:00:00,2680734,1249983,64.5,
2020-11-17 16:00:00,2680738,1252489,,37.0
2020-01-29 14:00:00,2680751,1252475,3.5,8.5
2011-06-03 10:00:00,2680754,1249766,12.5,
2020-03-18 11:00:00,2680754,1249807,25.5,
2020-10-10 11:00:00,2680754,1252716,,7.5
2020-04-27 12:00:00,2680756,1252685,6.5,
2020-02-24 16:00:00,2680761,1249929,42.0,
2011-08-04 17:00:00,2680766,1252450,28.0,
2020-05-10 19:00:00,2680771,1249837,18.0,
2011-07-02 15:00:00,2680779,1252449,24.5,
2020-12-01 06:00:00,2680788,1252606,,2.5
2020-05-11 17:00:00,2680924,1248609,149.0,
2020-11-09 07:00:00,2680941,1252443,,18.5
2020-09-12 07:00:00,2680979,1248687,31.0,
2020-02-04 18:00:00,2680994,1248619,,29.0
2011-11-17 09:00:00,2681007,1247825,22.0,
2020-11-23 18:00:00,2681031,1247847,27.5,
2020-07-17 17:00:00,2681035,1253175,16.5,
2020-07-01 12:00:00,2681048,1247713,45.5,
2011-09-08 07:00:00,2681063,1247687,49.0,
2011-09-02 19:00:00,2681065,1247893,54.0,
2011-07-08 19:00:00,2681069,1253196,11.0,14.0
2011-03-25 10:00:00,2681075,1247895,22.0,
2020-08-30 14:00:00,2681083,1247479,2.0,
2020-07-02 19:00:00,2681088,1247948,37.5,
2020-05-06 13:00:00,2681092,1248478,111.0,
2020-09-25 08:00:00,2681092,1248478,99.0,
2020-04-06 09:00:00,2681093,1247947,9.5,
2011-11-01 17:00:00,2681095,1247943,56.5,
2020-11-23 07:00:00,2681095,1248477,102.0,
2020-06-15 10:00:00,2681100,1247462,23.0,
2020-08-12 15:00:00,2681100,1247954,17.0,
2011-12-05 07:00:00,2681103,1247930,16.0,
2011-02-27 10:00:00,2681107,1247935,4.0,
2011-01-14 20:00:00,2681110,1248391,1.5,
2011-06-12 20:00:00,2681111,1247794,22.0,
2011-01-26 10:00:00,2681116,1247511,13.0,
2011-10-12 08:00:00,2681118,1247941,39.5,
2020-12-11 17:00:00,2681118,1247943,26.5,
2011-10-26 18:00:00,2681119,1247669,55.5,
2020-09-23 16:00:00,2681136,1248361,,17.5
2020-07-02 22:00:00,2681136,1248371,,5.5
2011-03-13 14:00:00,2681147,1248379,3.5,
2011-04-02 14:00:00,2681148,1248379,25.0,
2020-02-17 10:00:00,2681149,1247685,16.5,
2020-01-03 17:00:00,2681151,1247832,17.0,
2020-06-02 15:00:00,2681164,1247542,38.0,
2020-11-13 11:00:00,2681175,1247565,22.0,
2020-07-23 18:00:00,2681177,1248590,355.5,
2011-01-03 08:00:00,2681179,1247560,20.5,
2020-06-01 16:00:00,2681186,1248428,,85.0
2011-04-21 14:00:00,2681188,1248432,16.0,
2020-07-09 18:00:00,2681195,1248566,391.5,
2011-02-07 19:00:00,2681197,1248024,34.5,
2020-04-12 15:00:00,2681198,1248562,107.0,
2020-04-27 17:00:00,2681199,1247510,32.5,
2020-12-05 05:00:00,2681199,1248025,0.5,
2020-12-19 06:00:00,2681199,1248563,3.0,
2011-10-04 20:00:00,2681204,1247839,19.0,
2020-08-22 09:00:00,2681206,1247746,8.0,
2011-03-29 22:00:00,2681207,1248464,3.0,
2020-03-24 09:00:00,2681208,1248549,41.5,
2011-05-04 19:00:00,2681209,1248015,61.5,
2020-11-11 12:00:00,2681211,1248038,25.5,
2020-09-19 14:00:00,2681212,1248471,,31.5
2020-08-26 13:00:00,2681213,1248309,,13.5
2011-05-02 09:00:00,2681219,1247750,32.0,
2011-07-19 07:00:00,2681219,1248481,16.0,
2020-09-05 09:00:00,2681219,1248999,82.0,
2020-01-17 18:00:00,2681220,1247593,26.0,
2011-06-22 10:00:00,2681221,1247887,18.0,
2011-07-11 06:00:00,2681224,1248490,18.5,
2011-03-30 07:00:00,2681225,1248384,26.0,
2011-06-01 19:00:00,2681229,1247795,32.0,
2011-03-06 19:00:00,2681233,1247939,13.0,
2011-11-08 10:00:00,2681235,1247612,16.5,
2011-11-02 11:00:00,2681241,1248066,22.0,
2020-06-27 01:00:00,2681242,1248523,,1.5
2020-09-29 08:00:00,2681247,1247474,,10.5
2020-09-10 13:00:00,2681260,1248415,,19.5
2011-05-14 17:00:00,2681262,1247910,18.0,
2011-07-14 15:00:00,2681268,1248577,5.5,
2020-08-19 10:00:00,2681274,1248101,16.5,
2020-04-04 10:00:00,2681278,1248585,,71.0
2020-05-14 12:00:00,2681282,1247495,23.5,
2011-03-04 20:00:00,2681284,1247545,17.5,
2020-10-27 17:00:00,2681284,1247960,35.5,
2020-09-19 00:00:00,2681293,1248040,11.5,
2020-03-03 19:00:00,2681297,1248615,,106.0
2020-05-13 06:00:00,2681299,1248571,,4.5
2020-08-11 18:00:00,2681301,1248620,,32.0
2011-11-12 15:00:00,2681303,1248481,32.0,
2011-04-05 16:00:00,2681307,1247711,35.5,
2011-03-09 00:00:00,2681311,1247487,4.5,
2020-07-02 06:00:00,2681311,1248579,,22.0
2011-07-15 12:00:00,2681312,1247588,30.5,
2020-06-24 23:00:00,2681312,1247955,10.0,
2011-03-09 19:00:00,2681312,1248381,5.5,
2020-06-30 18:00:00,2681315,1248639,,57.0
2020-05-26 16:00:00,2681316,1248545,,126.0
2011-11-09 17:00:00,2681320,1247789,43.0,
2020-12-21 21:00:00,2681322,1248929,10.0,
2011-02-01 20:00:00,2681324,1248022,13.0,
2011-05-21 06:00:00,2681324,1248610,2.5,
2020-05-05 19:00:00,2681325,1248624,,17.0
2020-04-16 14:00:00,2681327,1248632,,43.0
2011-04-12 16:00:00,2681328,1248646,10.5,
2011-04-12 17:00:00,2681334,1248657,18.5,
2020-06-03 17:00:00,2681335,1248072,46.5,
2020-07-28 23:00:00,2681336,1248450,,4.5
2011-01-16 19:00:00,2681337,1248662,3.5,
2020-02-29 07:00:00,2681345,1248269,,32.5
2011-02-18 14:00:00,2681349,1247891,14.0,
2011-08-02 16:00:00,2681350,1247550,31.0,
2020-06-30 20:00:00,2681356,1247917,22.5,
2020-07-24 09:00:00,2681356,1253118,6.5,
2020-09-12 12:00:00,2681357,1248375,,29.0
2011-02-15 12:00:00,2681360,1247786,15.0,
2011-04-13 18:00:00,2681379,1247727,49.5,
2020-01-11 00:00:00,2681379,1248472,,25.0
2020-12-31 03:00:00,2681381,1247735,0.5,
2020-06-23 21:00:00,2681382,1247979,22.5,
2020-07-30 18:00:00,2681385,1247621,48.0,
2011-05-27 22:00:00,2681391,1247879,19.5,
2011-07-01 20:00:00,2681393,1247589,42.0,
2020-06-11 12:00:00,2681394,1247730,30.5,
2020-06-01 15:00:00,2681396,1247589,19.0,
2011-06-10 14:00:00,2681398,1247746,30.0,
2020-09-24 14:00:00,2681399,1248448,,19.0
2011-07-07 17:00:00,2681401,1248436,20.0,
2020-12-18 10:00:00,2681404,1247768,13.0,
2020-10-16 21:00:00,2681410,1247813,5.0,
2020-02-10 13:00:00,2681411,1248427,,93.5
2020-12-09 14:00:00,2681417,1247766,4.5,
2020-11-27 20:00:00,2681417,1248772,56.0,
2020-12-09 15:00:00,2681418,1248774,25.0,
2011-02-07 19:00:00,2681419,1247359,34.5,
2011-09-10 19:00:00,2681420,1248433,110.5,
2020-08-24 18:00:00,2681425,1247718,53.5,
2020-07-19 10:00:00,2681425,1247726,12.0,
2011-01-11 16:00:00,2681426,1247760,9.5,
2011-05-31 09:00:00,2681434,1247640,26.0,
