Date,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,SumBikerNumber,SumPedestrianNumber
2020-02-14 00:00:00,2682256,1248242,2.0,
2020-10-11 04:00:00,2682258,1248253,0.0,
2020-02-28 10:00:00,2682259,1248983,,32.0
2020-02-02 22:00:00,2682262,1248255,2.5,
2011-04-27 18:00:00,2682264,1247047,64.0,
2020-07-30 09:00:00,2682266,1247042,,13.5
2011-06-17 11:00:00,2682267,1247045,42.0,
2011-01-12 12:00:00,2682268,1247214,16.0,
2020-09-15 08:00:00,2682269,1247059,,16.0
2011-06-07 07:00:00,2682271,1247040,116.0,
2020-08-21 18:00:00,2682272,1247054,,23.0
2020-02-24 11:00:00,2682274,1246960,,94.5
2011-04-04 22:00:00,2682274,1249216,0.0,0.0
2020-07-02 20:00:00,2682276,1247055,,9.5
2020-07-06 19:00:00,2682276,1248274,,150.5
2020-03-04 18:00:00,2682277,1247051,,191.0
2011-10-10 13:00:00,2682278,1249211,2.5,11.5
2011-09-09 17:00:00,2682279,1247049,99.5,
2011-09-19 15:00:00,2682279,1247052,28.5,
2020-08-12 17:00:00,2682279,1247058,,19.5
2011-03-05 02:00:00,2682279,1249031,0.0,0.0
2011-11-15 15:00:00,2682282,1247036,22.5,
2011-11-01 12:00:00,2682282,1247134,28.5,
2020-02-08 23:00:00,2682283,1247056,,221.0
2020-10-12 18:00:00,2682284,1248269,35.5,
2020-08-26 20:00:00,2682286,1247060,,11.5
2020-07-07 13:00:00,2682286,1248530,,122.0
2020-03-09 12:00:00,2682286,1249019,,31.0
2020-09-30 13:00:00,2682290,1246974,,13.0
2011-04-16 21:00:00,2682290,1249197,0.0,1.5
2020-11-13 12:00:00,2682291,1248318,23.5,
2011-08-10 17:00:00,2682292,1247049,98.0,
2020-10-07 19:00:00,2682292,1248262,21.0,
2020-06-20 02:00:00,2682292,1248363,4.0,
2011-09-12 17:00:00,2682292,1249024,36.0,16.5
2011-10-29 01:00:00,2682292,1249035,0.0,0.0
2020-08-13 16:00:00,2682296,1248253,20.5,
2011-03-07 16:00:00,2682300,1247078,30.0,
2020-04-05 14:00:00,2682301,1247073,,25.5
2020-11-18 22:00:00,2682301,1248328,6.5,
2020-12-21 18:00:00,2682303,1249054,50.0,
2020-02-29 23:00:00,2682308,1248400,0.0,
2020-01-14 19:00:00,2682309,1248174,59.0,
2020-12-04 23:00:00,2682309,1248244,6.0,
2020-07-26 21:00:00,2682309,1248256,19.0,
2011-04-21 01:00:00,2682309,1248375,0.0,
2011-12-14 13:00:00,2682311,1247032,13.5,
2011-05-26 16:00:00,2682313,1247034,66.0,
2020-04-24 16:00:00,2682314,1247089,,75.0
2020-10-04 03:00:00,2682314,1248243,0.5,
2020-01-21 17:00:00,2682315,1248370,,303.0
2011-03-27 03:00:00,2682315,1248408,0.0,
2011-02-25 23:00:00,2682316,1249162,0.0,0.0
2011-03-18 19:00:00,2682318,1247089,29.0,
2020-12-05 19:00:00,2682318,1248383,,54.0
2020-12-12 10:00:00,2682319,1247092,,59.5
2020-11-14 19:00:00,2682319,1248384,,57.0
2020-10-12 15:00:00,2682320,1248492,49.5,
2020-01-25 13:00:00,2682321,1249149,,34.5
2020-05-21 20:00:00,2682322,1248381,,114.0
2020-06-03 17:00:00,2682322,1248425,,358.0
2011-06-25 10:00:00,2682322,1248442,5.5,
2011-07-19 08:00:00,2682323,1247092,50.5,
2011-03-08 08:00:00,2682326,1247018,71.0,
2020-05-04 14:00:00,2682327,1247101,,11.0
2020-07-16 08:00:00,2682328,1248462,,83.0
2020-06-07 01:00:00,2682329,1248390,,48.5
2020-07-27 14:00:00,2682330,1247005,,8.0
2011-02-25 12:00:00,2682333,1246990,12.0,
